,Neighbourhood,Neighbourhood Id,Total Area,Total Population,Pop - Males,Pop - Females,Pop 0 - 4 years,Pop 5 - 9 years,Pop 10 - 14 years,Pop 15 -19 years,Pop 20 - 24 years,Pop  25 - 29 years,Pop 30 - 34 years,Pop 35 - 39 years,Pop 40 - 44 years,Pop 45 - 49 years,Pop 50 - 54 years,Pop 55 - 59 years,Pop 60 - 64 years,Pop 65 - 69 years,Pop 70 - 74 years,Pop 75 - 79 years,Pop 80 - 84 years,Pop 85 years and over,Home Language Category,Language - Chinese,Language - Tamil,Language - Italian,Language - Spanish,Language - Portuguese,Language - Tagalog,Language - Urdu,Language - Russian,Language - Persian (Farsi),Language - Korean,Child 0-14,Youth 15-24,Seniors 55 and over,Seniors 65 and over,City Grants Funding $,Walk Score,Salvation Army Donors,Watermain Breaks,Neighbourhood Equity Score,Social Assistance Recipients,Local Employment,Businesses,Debt Risk Score,Home Prices,Child Care Spaces,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Robberies,Vehicle Thefts,Thefts,Murders,Arsons,Fires & Fire Alarms,Fire Vehicle Incidents,Hazardous Incidents,Total Major Crime Incidents,Fire Medical Calls,Traffic Collisions,Road Kilometres,Road Volume,TTC Stops,Pedestrian/Other Collisions
0,West Humber-Clairville,1.0,30.09,34100.0,17095.0,17000.0,1865.0,1950.0,2155.0,2550.0,2855.0,2755.0,2360.0,2175.0,2445.0,2545.0,2360.0,1975.0,1780.0,1345.0,1070.0,895.0,585.0,410.0,32215.0,475.0,715.0,925.0,1100.0,205.0,850.0,715.0,15.0,160.0,95.0,5960.0,5400.0,8095.0,4330.0,123283.0,57.0,640.0,30.0,,2912.0,58271.0,2463.0,719.0,317508.0,195.0,62.0,390.0,68.0,175.0,82.0,288.0,54.0,0.0,4.0,705.0,502.0,210.0,1119.0,1321.0,778.0,165.00737880000003,5956.638889,338.0,727.0
1,Mount Olive-Silverstone-Jamestown,2.0,4.6,32790.0,16015.0,16765.0,2575.0,2535.0,2555.0,2620.0,2400.0,2335.0,2355.0,2530.0,2500.0,2370.0,2050.0,1610.0,1360.0,1055.0,775.0,605.0,340.0,170.0,31140.0,275.0,1420.0,750.0,820.0,115.0,345.0,1075.0,50.0,350.0,60.0,7665.0,5015.0,5935.0,2955.0,238172.0,61.0,222.0,8.0,,6561.0,3244.0,271.0,687.0,251119.0,60.0,90.0,316.0,75.0,61.0,78.0,62.0,7.0,1.0,3.0,361.0,59.0,176.0,690.0,1016.0,154.0,33.86731754,3514.166667,70.0,224.0
2,Thistletown-Beaumond Heights,3.0,3.4,10140.0,4920.0,5225.0,575.0,580.0,670.0,675.0,675.0,675.0,600.0,640.0,745.0,780.0,690.0,565.0,515.0,420.0,370.0,405.0,290.0,260.0,9455.0,95.0,120.0,705.0,570.0,105.0,130.0,300.0,15.0,115.0,35.0,1815.0,1350.0,2825.0,1740.0,7296.0,54.0,218.0,9.0,,1276.0,1311.0,217.0,718.0,414216.0,25.0,16.0,85.0,24.0,36.0,17.0,12.0,2.0,0.0,0.0,90.0,48.0,34.0,192.0,323.0,69.0,27.87682004,3545.0,45.0,109.0
3,Rexdale-Kipling,4.0,2.5,10485.0,5035.0,5455.0,495.0,520.0,570.0,665.0,650.0,645.0,600.0,645.0,745.0,825.0,865.0,710.0,630.0,455.0,415.0,385.0,360.0,300.0,9855.0,95.0,70.0,475.0,700.0,145.0,180.0,215.0,30.0,95.0,30.0,1590.0,1315.0,3245.0,1905.0,35100.0,58.0,336.0,5.0,,1323.0,1178.0,144.0,721.0,392271.0,75.0,15.0,59.0,20.0,32.0,16.0,18.0,3.0,1.0,0.0,94.0,34.0,55.0,164.0,305.0,96.0,25.23712912,7621.333333,40.0,62.0
4,Elms-Old Rexdale,5.0,2.9,9550.0,4615.0,4935.0,670.0,720.0,720.0,725.0,655.0,570.0,595.0,600.0,750.0,720.0,710.0,545.0,475.0,350.0,265.0,235.0,145.0,100.0,9190.0,90.0,60.0,510.0,670.0,80.0,195.0,140.0,30.0,285.0,55.0,2110.0,1380.0,2110.0,1100.0,0.0,48.0,152.0,10.0,,1683.0,903.0,67.0,692.0,233832.0,60.0,14.0,77.0,5.0,25.0,23.0,22.0,19.0,0.0,1.0,107.0,71.0,43.0,185.0,321.0,70.0,17.07821088,4115.5,29.0,63.0
5,Kingsview Village-The Westway,6.0,5.1,21725.0,10310.0,11415.0,1515.0,1470.0,1480.0,1460.0,1435.0,1385.0,1285.0,1415.0,1490.0,1630.0,1430.0,1220.0,1095.0,845.0,780.0,750.0,605.0,440.0,20845.0,315.0,215.0,1310.0,970.0,305.0,255.0,1285.0,150.0,475.0,185.0,4470.0,2925.0,5725.0,3405.0,0.0,56.0,681.0,21.0,,4348.0,2799.0,160.0,717.0,292861.0,129.0,47.0,134.0,22.0,59.0,32.0,48.0,8.0,1.0,0.0,244.0,186.0,117.0,351.0,680.0,74.0,34.67941211,3371.0,70.0,105.0
6,Willowridge-Martingrove-Richview,7.0,5.5,21345.0,10190.0,11145.0,1110.0,1070.0,1195.0,1320.0,1355.0,1235.0,1105.0,1190.0,1460.0,1570.0,1635.0,1355.0,1220.0,925.0,910.0,1025.0,895.0,760.0,20655.0,390.0,145.0,1745.0,760.0,370.0,250.0,485.0,130.0,105.0,320.0,3415.0,2660.0,7060.0,4505.0,14425.0,51.0,1186.0,5.0,,2032.0,1843.0,169.0,750.0,511637.0,165.0,18.0,131.0,22.0,66.0,48.0,49.0,8.0,0.0,2.0,228.0,78.0,111.0,342.0,640.0,179.0,58.1905001,2446.833333,81.0,80.0
7,Humber Heights-Westmount,8.0,2.8,10580.0,4740.0,5840.0,495.0,495.0,485.0,615.0,530.0,520.0,560.0,585.0,670.0,800.0,750.0,655.0,595.0,460.0,505.0,555.0,570.0,750.0,9725.0,70.0,5.0,1090.0,405.0,315.0,40.0,55.0,200.0,45.0,85.0,1470.0,1145.0,4090.0,2850.0,32400.0,58.0,595.0,31.0,,856.0,896.0,82.0,753.0,491396.0,140.0,12.0,41.0,1.0,28.0,15.0,8.0,1.0,0.0,1.0,165.0,37.0,64.0,106.0,512.0,54.0,25.33142639,7039.0,58.0,27.0
8,Edenbridge-Humber Valley,9.0,5.5,14945.0,7075.0,7865.0,570.0,755.0,855.0,900.0,960.0,915.0,745.0,825.0,1045.0,1225.0,1250.0,1140.0,955.0,720.0,590.0,565.0,485.0,450.0,14620.0,225.0,5.0,900.0,745.0,310.0,105.0,15.0,355.0,40.0,190.0,2180.0,1860.0,4870.0,2770.0,0.0,49.0,1192.0,22.0,,751.0,1334.0,153.0,761.0,873268.0,30.0,4.0,57.0,5.0,75.0,18.0,21.0,5.0,0.0,1.0,113.0,25.0,73.0,185.0,317.0,150.0,44.71755334,4880.25,63.0,39.0
9,Princess-Rosethorn,10.0,5.2,11200.0,5470.0,5730.0,405.0,610.0,735.0,950.0,800.0,430.0,370.0,460.0,770.0,1045.0,1070.0,925.0,710.0,505.0,395.0,370.0,335.0,320.0,10965.0,325.0,20.0,465.0,110.0,145.0,65.0,35.0,110.0,70.0,245.0,1745.0,1750.0,3560.0,1930.0,0.0,48.0,1139.0,19.0,,299.0,1226.0,74.0,791.0,971668.0,367.0,16.0,48.0,1.0,50.0,17.0,16.0,9.0,0.0,0.0,76.0,22.0,54.0,157.0,214.0,78.0,55.51501804,4781.0,61.0,49.0
10,Eringate-Centennial-West Deane,11.0,8.6,18805.0,8985.0,9835.0,830.0,845.0,1085.0,1370.0,1180.0,940.0,855.0,920.0,1355.0,1635.0,1660.0,1360.0,1155.0,885.0,840.0,840.0,615.0,465.0,18310.0,575.0,65.0,640.0,470.0,480.0,220.0,155.0,325.0,60.0,395.0,2755.0,2545.0,6165.0,3650.0,0.0,57.0,950.0,12.0,,775.0,3472.0,229.0,775.0,423034.0,172.0,9.0,58.0,9.0,63.0,35.0,25.0,5.0,0.0,0.0,142.0,141.0,81.0,204.0,522.0,166.0,63.07531488,6543.222222,85.0,74.0
11,Markland Wood,12.0,2.9,10435.0,4860.0,5585.0,335.0,475.0,545.0,590.0,575.0,490.0,385.0,455.0,700.0,860.0,910.0,830.0,700.0,590.0,510.0,555.0,495.0,420.0,10145.0,225.0,15.0,210.0,130.0,145.0,80.0,15.0,180.0,25.0,180.0,1355.0,1170.0,4110.0,2575.0,1200.0,69.0,953.0,11.0,,239.0,1494.0,106.0,783.0,505350.0,105.0,10.0,42.0,3.0,24.0,20.0,14.0,0.0,0.0,0.0,71.0,50.0,26.0,113.0,251.0,76.0,27.72983914,4689.333333,29.0,53.0
12,Etobicoke West Mall,13.0,1.7,10925.0,5100.0,5830.0,585.0,565.0,630.0,720.0,705.0,650.0,625.0,700.0,795.0,920.0,870.0,700.0,570.0,370.0,370.0,380.0,365.0,435.0,10170.0,275.0,150.0,140.0,415.0,180.0,315.0,195.0,200.0,135.0,205.0,1775.0,1415.0,3170.0,1900.0,64200.0,74.0,424.0,3.0,,1091.0,4340.0,146.0,738.0,298426.0,60.0,11.0,73.0,6.0,26.0,15.0,15.0,4.0,1.0,0.0,72.0,60.0,46.0,151.0,290.0,31.0,15.67267236,3598.0,27.0,33.0
13,Islington-City Centre West,14.0,16.4,38070.0,18035.0,20055.0,1935.0,1590.0,1640.0,2015.0,2315.0,2935.0,3085.0,2835.0,2745.0,3020.0,2815.0,2535.0,2055.0,1525.0,1310.0,1235.0,1200.0,1260.0,36420.0,1060.0,205.0,1125.0,970.0,820.0,705.0,355.0,790.0,250.0,1315.0,5165.0,4315.0,11135.0,6555.0,12500.0,72.0,2012.0,32.0,,2534.0,45794.0,2263.0,755.0,491678.0,204.0,71.0,268.0,37.0,207.0,58.0,188.0,23.0,1.0,3.0,625.0,374.0,249.0,853.0,1616.0,366.0,120.1567608,5704.939394,245.0,689.0
14,Kingsway South,15.0,2.6,9175.0,4330.0,4845.0,465.0,630.0,635.0,530.0,485.0,305.0,340.0,505.0,745.0,795.0,725.0,695.0,615.0,450.0,355.0,345.0,265.0,305.0,9065.0,100.0,5.0,220.0,100.0,95.0,55.0,5.0,60.0,40.0,65.0,1720.0,1015.0,3010.0,1695.0,0.0,68.0,1047.0,4.0,,74.0,2335.0,195.0,793.0,941223.0,115.0,6.0,37.0,1.0,29.0,30.0,15.0,2.0,0.0,0.0,112.0,18.0,54.0,120.0,251.0,99.0,30.48819635,5078.333333,33.0,56.0
15,Stonegate-Queensway,16.0,7.9,24690.0,11935.0,12745.0,1395.0,1235.0,1265.0,1295.0,1190.0,1270.0,1575.0,1865.0,1990.0,2190.0,2120.0,1790.0,1515.0,940.0,830.0,755.0,635.0,825.0,23980.0,330.0,25.0,755.0,455.0,555.0,260.0,35.0,635.0,65.0,135.0,3895.0,2465.0,7295.0,3985.0,0.0,67.0,1440.0,24.0,,1593.0,5932.0,595.0,760.0,690949.0,283.0,19.0,131.0,10.0,86.0,21.0,50.0,9.0,0.0,1.0,167.0,81.0,135.0,326.0,729.0,265.0,84.63624626,7115.142856999999,106.0,155.0
16,Mimico,17.0,6.9,26550.0,12925.0,13625.0,1275.0,875.0,820.0,975.0,1360.0,2095.0,2565.0,2355.0,2065.0,2345.0,2240.0,1965.0,1700.0,1290.0,970.0,690.0,550.0,415.0,25665.0,755.0,45.0,675.0,775.0,590.0,475.0,40.0,735.0,155.0,235.0,2970.0,2345.0,7590.0,3935.0,3000.0,71.0,873.0,6.0,,2634.0,11549.0,619.0,741.0,429941.0,195.0,52.0,201.0,14.0,139.0,16.0,35.0,9.0,0.0,0.0,378.0,156.0,172.0,466.0,914.0,171.0,52.873501899999994,4599.75,126.0,134.0
17,New Toronto,18.0,3.5,10905.0,5300.0,5600.0,565.0,460.0,455.0,615.0,775.0,755.0,810.0,860.0,855.0,965.0,895.0,780.0,625.0,420.0,360.0,300.0,170.0,235.0,10455.0,155.0,30.0,75.0,240.0,145.0,295.0,35.0,160.0,20.0,115.0,1495.0,1385.0,2910.0,1485.0,0.0,79.0,279.0,6.0,,1600.0,5289.0,368.0,719.0,460811.0,90.0,42.0,137.0,8.0,69.0,37.0,28.0,0.0,0.0,0.0,223.0,45.0,83.0,321.0,543.0,109.0,27.90971541,4541.75,41.0,71.0
18,Long Branch,19.0,2.3,9630.0,4745.0,4890.0,480.0,420.0,425.0,480.0,650.0,630.0,660.0,725.0,760.0,940.0,875.0,730.0,630.0,390.0,285.0,195.0,190.0,155.0,9330.0,110.0,15.0,105.0,270.0,160.0,225.0,30.0,175.0,30.0,25.0,1315.0,1145.0,2565.0,1205.0,0.0,72.0,308.0,11.0,,1024.0,1143.0,170.0,724.0,459088.0,54.0,13.0,78.0,21.0,41.0,12.0,17.0,2.0,0.0,0.0,103.0,22.0,56.0,184.0,327.0,88.0,26.22108051,2514.5,21.0,43.0
19,Alderwood,20.0,5.0,11900.0,5765.0,6130.0,610.0,495.0,555.0,650.0,685.0,680.0,835.0,780.0,890.0,1055.0,1070.0,885.0,715.0,500.0,395.0,405.0,355.0,325.0,11565.0,180.0,15.0,590.0,160.0,425.0,260.0,10.0,190.0,20.0,40.0,1660.0,1325.0,3600.0,1990.0,0.0,70.0,599.0,20.0,,516.0,4839.0,309.0,764.0,504233.0,120.0,13.0,49.0,15.0,77.0,12.0,19.0,4.0,0.0,0.0,110.0,66.0,54.0,189.0,331.0,125.0,43.87582539,4381.0,60.0,56.0
20,Humber Summit,21.0,7.9,12530.0,6180.0,6340.0,720.0,730.0,855.0,880.0,860.0,775.0,780.0,830.0,865.0,970.0,715.0,630.0,620.0,580.0,635.0,575.0,330.0,145.0,12045.0,125.0,130.0,2220.0,650.0,130.0,85.0,1160.0,15.0,105.0,15.0,2315.0,1745.0,3545.0,2270.0,0.0,61.0,179.0,7.0,,1659.0,17950.0,1373.0,715.0,354381.0,53.0,11.0,98.0,8.0,76.0,30.0,59.0,6.0,1.0,0.0,208.0,117.0,73.0,289.0,566.0,286.0,48.83422843,4400.0909090000005,103.0,205.0
21,Humbermede,22.0,4.4,15850.0,7700.0,8150.0,1125.0,1030.0,1005.0,1100.0,1160.0,1120.0,1145.0,1100.0,1190.0,1205.0,1080.0,825.0,760.0,520.0,525.0,440.0,305.0,215.0,15040.0,275.0,225.0,1270.0,1585.0,115.0,330.0,1045.0,25.0,40.0,115.0,3175.0,2265.0,3590.0,2000.0,0.0,58.0,200.0,4.0,,2590.0,5799.0,374.0,695.0,314721.0,55.0,35.0,131.0,34.0,58.0,40.0,45.0,2.0,0.0,2.0,74.0,98.0,49.0,345.0,329.0,103.0,28.13528583,4377.333333,46.0,158.0
22,Pelmo Park-Humberlea,23.0,4.2,8705.0,4200.0,4505.0,475.0,470.0,530.0,620.0,515.0,480.0,495.0,570.0,665.0,750.0,700.0,540.0,420.0,345.0,435.0,325.0,220.0,160.0,8380.0,170.0,115.0,1505.0,605.0,410.0,120.0,25.0,5.0,30.0,25.0,1475.0,1145.0,2465.0,1505.0,0.0,57.0,258.0,2.0,,798.0,2855.0,152.0,735.0,412618.0,0.0,43.0,63.0,5.0,37.0,39.0,29.0,6.0,0.0,1.0,115.0,186.0,42.0,222.0,347.0,110.0,32.44376816,5889.857143,47.0,173.0
23,Black Creek,24.0,3.4,22060.0,10260.0,11795.0,1805.0,1720.0,1585.0,1675.0,1705.0,1630.0,1405.0,1395.0,1570.0,1540.0,1430.0,1095.0,920.0,760.0,665.0,515.0,340.0,280.0,20975.0,745.0,725.0,1050.0,1310.0,120.0,310.0,185.0,105.0,95.0,25.0,5100.0,3390.0,4580.0,2570.0,45890.0,62.0,126.0,3.0,,6408.0,3856.0,306.0,661.0,235143.0,175.0,90.0,242.0,36.0,75.0,65.0,59.0,4.0,1.0,2.0,263.0,99.0,169.0,572.0,786.0,135.0,23.51819455,7326.3,94.0,182.0
24,Glenfield-Jane Heights,25.0,5.2,31395.0,14755.0,16635.0,2110.0,2135.0,2290.0,2445.0,2105.0,2050.0,1865.0,1905.0,2185.0,2285.0,2175.0,1640.0,1490.0,1220.0,1190.0,1110.0,765.0,435.0,30080.0,1445.0,485.0,3475.0,3695.0,355.0,485.0,125.0,90.0,215.0,40.0,6565.0,4545.0,7840.0,4735.0,196977.0,61.0,247.0,20.0,,7263.0,8323.0,587.0,678.0,304262.0,173.0,117.0,299.0,72.0,84.0,120.0,37.0,4.0,1.0,3.0,362.0,98.0,197.0,734.0,911.0,222.0,41.62227043,3632.714286,88.0,340.0
25,Downsview-Roding-CFB,26.0,14.9,34650.0,16700.0,17965.0,2220.0,1905.0,1915.0,2050.0,2185.0,2490.0,2655.0,2380.0,2585.0,2795.0,2560.0,2020.0,1630.0,1285.0,1255.0,1195.0,890.0,615.0,33265.0,730.0,200.0,5040.0,3470.0,835.0,1565.0,130.0,180.0,205.0,80.0,6040.0,4250.0,8910.0,5240.0,399478.0,59.0,538.0,26.0,,5618.0,20150.0,985.0,692.0,400486.0,238.0,126.0,402.0,50.0,187.0,77.0,128.0,8.0,3.0,5.0,441.0,365.0,233.0,981.0,1262.0,300.0,87.98992412,2825.888889,166.0,604.0
26,York University Heights,27.0,13.2,27715.0,13580.0,14125.0,1645.0,1385.0,1380.0,1750.0,3280.0,2815.0,2120.0,1800.0,1820.0,1940.0,1750.0,1335.0,1150.0,870.0,890.0,825.0,545.0,395.0,26340.0,1750.0,1175.0,2280.0,1475.0,285.0,930.0,580.0,430.0,370.0,265.0,4405.0,5040.0,6010.0,3545.0,23870.0,60.0,408.0,13.0,,4720.0,42885.0,2643.0,698.0,359372.0,156.0,56.0,282.0,49.0,150.0,99.0,122.0,16.0,2.0,2.0,798.0,143.0,186.0,776.0,1007.0,548.0,67.60074578,5546.25,235.0,598.0
27,Rustic,28.0,2.1,9950.0,4475.0,5480.0,765.0,730.0,750.0,670.0,635.0,630.0,575.0,600.0,670.0,695.0,605.0,470.0,410.0,395.0,395.0,445.0,300.0,220.0,9625.0,140.0,190.0,1510.0,680.0,440.0,110.0,65.0,20.0,30.0,10.0,2235.0,1300.0,2630.0,1760.0,0.0,60.0,156.0,4.0,,1924.0,550.0,48.0,692.0,493442.0,26.0,25.0,86.0,14.0,43.0,41.0,18.0,5.0,1.0,0.0,181.0,83.0,92.0,233.0,380.0,99.0,20.02981099,7692.0,30.0,36.0
28,Maple Leaf,29.0,2.5,10195.0,4935.0,5260.0,555.0,495.0,565.0,560.0,580.0,640.0,665.0,670.0,800.0,805.0,725.0,550.0,500.0,445.0,490.0,505.0,370.0,265.0,9605.0,100.0,105.0,2295.0,680.0,480.0,400.0,70.0,40.0,20.0,15.0,1640.0,1140.0,3100.0,2055.0,0.0,66.0,163.0,8.0,,919.0,737.0,47.0,721.0,540741.0,90.0,9.0,37.0,10.0,29.0,19.0,13.0,0.0,0.0,0.0,85.0,72.0,29.0,117.0,303.0,76.0,23.05914766,3384.666667,26.0,41.0
29,Brookhaven-Amesbury,30.0,3.5,17785.0,8315.0,9470.0,1315.0,1110.0,1130.0,1230.0,1215.0,1360.0,1255.0,1140.0,1300.0,1420.0,1350.0,1000.0,770.0,545.0,515.0,450.0,370.0,305.0,16950.0,465.0,250.0,1210.0,1580.0,985.0,480.0,115.0,45.0,55.0,30.0,3540.0,2460.0,3950.0,2195.0,16300.0,62.0,201.0,4.0,,3420.0,4825.0,466.0,687.0,352428.0,54.0,33.0,143.0,52.0,58.0,32.0,47.0,6.0,0.0,3.0,178.0,31.0,86.0,371.0,457.0,108.0,29.67583066,4326.375,57.0,188.0
30,Yorkdale-Glen Park,31.0,5.9,14685.0,6750.0,7940.0,640.0,690.0,815.0,835.0,845.0,890.0,895.0,860.0,1050.0,1085.0,1030.0,850.0,765.0,610.0,690.0,755.0,690.0,700.0,13685.0,640.0,120.0,2950.0,625.0,810.0,605.0,60.0,85.0,70.0,50.0,2140.0,1690.0,5070.0,3450.0,59894.0,72.0,335.0,13.0,,1502.0,24685.0,1468.0,729.0,421045.0,82.0,60.0,181.0,11.0,67.0,81.0,137.0,14.0,0.0,1.0,286.0,174.0,128.0,551.0,812.0,246.0,49.71453259,4193.75,155.0,1007.0
31,Englemount-Lawrence,32.0,3.6,22080.0,9675.0,12415.0,1675.0,1530.0,1550.0,1500.0,1320.0,1315.0,1470.0,1450.0,1380.0,1370.0,1365.0,1160.0,955.0,715.0,655.0,665.0,715.0,1305.0,20580.0,285.0,45.0,545.0,630.0,335.0,1900.0,45.0,600.0,155.0,65.0,4765.0,2820.0,6170.0,4050.0,18000.0,70.0,482.0,13.0,,2733.0,3495.0,175.0,730.0,577889.0,105.0,17.0,147.0,19.0,82.0,79.0,27.0,5.0,0.0,2.0,246.0,69.0,140.0,376.0,669.0,198.0,39.79200011,3056.1,90.0,185.0
