,Neighbourhood,Neighbourhood Id,Total Area,Total Population,Pop - Males,Pop - Females,Pop 0 - 4 years,Pop 5 - 9 years,Pop 10 - 14 years,Pop 15 -19 years,Pop 20 - 24 years,Pop  25 - 29 years,Pop 30 - 34 years,Pop 35 - 39 years,Pop 40 - 44 years,Pop 45 - 49 years,Pop 50 - 54 years,Pop 55 - 59 years,Pop 60 - 64 years,Pop 65 - 69 years,Pop 70 - 74 years,Pop 75 - 79 years,Pop 80 - 84 years,Pop 85 years and over,Home Language Category,Language - Chinese,Language - Tamil,Language - Italian,Language - Spanish,Language - Portuguese,Language - Tagalog,Language - Urdu,Language - Russian,Language - Persian (Farsi),Language - Korean,Child 0-14,Youth 15-24,Seniors 55 and over,Seniors 65 and over,City Grants Funding $,Walk Score,Salvation Army Donors,Watermain Breaks,Neighbourhood Equity Score,Social Assistance Recipients,Local Employment,Businesses,Debt Risk Score,Home Prices,Child Care Spaces,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Robberies,Vehicle Thefts,Thefts,Murders,Arsons,Fires & Fire Alarms,Fire Vehicle Incidents,Hazardous Incidents,Total Major Crime Incidents,Fire Medical Calls,Traffic Collisions,Road Kilometres,Road Volume,TTC Stops,Pedestrian/Other Collisions
32,Clanton Park,33.0,4.2,14610.0,6750.0,7865.0,950.0,760.0,870.0,880.0,835.0,890.0,1115.0,1150.0,1155.0,1220.0,1055.0,860.0,770.0,480.0,450.0,400.0,390.0,400.0,13985.0,250.0,25.0,775.0,365.0,120.0,1705.0,15.0,585.0,60.0,115.0,2575.0,1725.0,3730.0,2100.0,0.0,63.0,268.0,11.0,,734.0,5011.0,357.0,740.0,605585.0,130.0,15.0,121.0,12.0,60.0,30.0,42.0,10.0,1.0,1.0,148.0,95.0,97.0,291.0,353.0,148.0,42.6697449,3513.25,57.0,234.0
33,Bathurst Manor,34.0,4.8,15435.0,7380.0,8050.0,850.0,710.0,750.0,885.0,925.0,1000.0,1120.0,1030.0,1170.0,1220.0,1190.0,925.0,840.0,565.0,505.0,540.0,560.0,655.0,14755.0,340.0,30.0,870.0,475.0,210.0,840.0,15.0,1695.0,200.0,240.0,2315.0,1805.0,4570.0,2805.0,2800.0,61.0,300.0,20.0,,1018.0,3370.0,244.0,745.0,568877.0,105.0,9.0,56.0,8.0,58.0,9.0,25.0,5.0,0.0,2.0,167.0,89.0,108.0,170.0,675.0,177.0,41.4372944,5594.4,69.0,146.0
34,Westminster-Branson,35.0,3.7,25445.0,11700.0,13755.0,1245.0,1080.0,1210.0,1500.0,1685.0,1765.0,1715.0,1720.0,1800.0,1855.0,1970.0,1625.0,1580.0,950.0,1075.0,895.0,865.0,925.0,24250.0,480.0,70.0,110.0,630.0,55.0,2165.0,75.0,7435.0,555.0,680.0,3525.0,3165.0,7905.0,4710.0,4000.0,61.0,381.0,2.0,,2906.0,3027.0,83.0,730.0,372380.0,45.0,23.0,128.0,14.0,98.0,27.0,26.0,7.0,0.0,0.0,169.0,18.0,71.0,323.0,659.0,150.0,23.39752438,4357.75,36.0,221.0
35,Newtonbrook West,36.0,4.7,23050.0,10890.0,12165.0,1045.0,820.0,990.0,1255.0,1775.0,1890.0,1660.0,1630.0,1665.0,1965.0,1910.0,1450.0,1320.0,910.0,840.0,765.0,595.0,595.0,21890.0,1660.0,45.0,645.0,385.0,95.0,1815.0,125.0,3260.0,1820.0,2015.0,2850.0,3045.0,6455.0,3700.0,22705.0,69.0,544.0,22.0,,2124.0,9091.0,483.0,737.0,557468.0,98.0,19.0,140.0,17.0,127.0,45.0,36.0,8.0,0.0,0.0,147.0,48.0,108.0,392.0,631.0,260.0,46.89685527,5774.6,95.0,351.0
36,Willowdale West,37.0,2.9,15005.0,7085.0,7920.0,670.0,505.0,495.0,565.0,1140.0,1345.0,1310.0,1080.0,1010.0,980.0,1045.0,1030.0,860.0,675.0,640.0,600.0,545.0,505.0,14535.0,2020.0,40.0,365.0,235.0,75.0,235.0,50.0,975.0,1280.0,1175.0,1665.0,1700.0,4860.0,2970.0,0.0,78.0,633.0,12.0,,515.0,7110.0,363.0,766.0,541247.0,248.0,18.0,85.0,9.0,23.0,19.0,10.0,4.0,0.0,2.0,87.0,13.0,73.0,168.0,345.0,167.0,32.29755967,4808.285714,25.0,111.0
37,Lansing-Westgate,38.0,5.4,14640.0,6950.0,7695.0,845.0,725.0,745.0,795.0,965.0,1185.0,1290.0,1170.0,1175.0,1150.0,1035.0,855.0,750.0,515.0,405.0,360.0,330.0,360.0,14285.0,995.0,15.0,165.0,320.0,90.0,460.0,45.0,770.0,630.0,580.0,2300.0,1755.0,3565.0,1960.0,12000.0,77.0,695.0,10.0,,468.0,12254.0,488.0,758.0,646460.0,75.0,13.0,70.0,19.0,46.0,10.0,24.0,4.0,0.0,0.0,159.0,114.0,97.0,186.0,432.0,173.0,39.31779631,6920.0909090000005,44.0,142.0
38,Bedford Park-Nortown,39.0,5.5,23185.0,10720.0,12470.0,1465.0,1620.0,1630.0,1695.0,1240.0,965.0,1180.0,1485.0,1730.0,1890.0,1805.0,1570.0,1310.0,930.0,750.0,685.0,625.0,625.0,22655.0,430.0,5.0,410.0,335.0,90.0,1010.0,15.0,300.0,245.0,110.0,4705.0,2930.0,6535.0,3650.0,28000.0,73.0,1157.0,29.0,,484.0,8187.0,676.0,776.0,1191040.0,60.0,4.0,71.0,4.0,219.0,16.0,42.0,18.0,1.0,2.0,323.0,162.0,192.0,375.0,895.0,258.0,62.50510549,3124.076923,75.0,167.0
39,St.Andrew-Windfields,40.0,7.3,17955.0,8610.0,9345.0,690.0,880.0,1155.0,1480.0,1290.0,965.0,775.0,940.0,1425.0,1650.0,1475.0,1335.0,1180.0,885.0,660.0,450.0,415.0,270.0,17485.0,2605.0,75.0,170.0,330.0,70.0,265.0,85.0,290.0,865.0,805.0,2745.0,2780.0,5200.0,2690.0,0.0,60.0,1066.0,18.0,,606.0,13023.0,591.0,774.0,1363202.0,124.0,5.0,63.0,10.0,112.0,12.0,26.0,7.0,0.0,0.0,249.0,200.0,108.0,235.0,502.0,302.0,59.74934713,3595.5,151.0,123.0
40,Bridle Path-Sunnybrook-York Mills,41.0,8.8,8715.0,4180.0,4530.0,285.0,480.0,645.0,765.0,595.0,315.0,270.0,335.0,565.0,810.0,765.0,715.0,645.0,470.0,340.0,265.0,235.0,200.0,8505.0,615.0,5.0,110.0,65.0,30.0,110.0,0.0,130.0,260.0,50.0,1425.0,1360.0,2870.0,1515.0,6500.0,58.0,749.0,10.0,,37.0,11756.0,58.0,788.0,1849084.0,0.0,2.0,16.0,10.0,50.0,11.0,11.0,4.0,0.0,0.0,290.0,32.0,92.0,104.0,305.0,128.0,48.36508558,7224.5,66.0,205.0
41,Banbury-Don Mills,42.0,10.0,26910.0,12485.0,14430.0,1180.0,1205.0,1325.0,1440.0,1280.0,1420.0,1500.0,1705.0,2275.0,2305.0,1970.0,1635.0,1610.0,1280.0,1225.0,1140.0,1215.0,1235.0,25780.0,3355.0,145.0,140.0,360.0,110.0,515.0,220.0,305.0,875.0,510.0,3685.0,2705.0,9340.0,6095.0,0.0,67.0,2145.0,12.0,,1030.0,25614.0,834.0,776.0,613647.0,255.0,21.0,97.0,17.0,88.0,10.0,23.0,23.0,0.0,1.0,299.0,149.0,131.0,279.0,908.0,166.0,75.0681627,4750.642857,128.0,319.0
42,Victoria Village,43.0,4.7,17180.0,7960.0,9230.0,1030.0,835.0,870.0,920.0,980.0,1170.0,1210.0,1175.0,1310.0,1360.0,1220.0,1030.0,915.0,720.0,720.0,655.0,535.0,530.0,16140.0,605.0,465.0,200.0,350.0,85.0,540.0,385.0,90.0,510.0,100.0,2735.0,1910.0,5135.0,3195.0,9000.0,71.0,586.0,13.0,,2593.0,7035.0,431.0,730.0,365107.0,134.0,14.0,107.0,6.0,48.0,17.0,18.0,9.0,2.0,0.0,154.0,59.0,62.0,221.0,392.0,122.0,34.27607748,5074.666667,73.0,113.0
43,Flemingdon Park,44.0,2.5,22165.0,10615.0,11555.0,1555.0,1420.0,1480.0,1465.0,1620.0,1675.0,1615.0,1595.0,1630.0,1705.0,1500.0,1160.0,1055.0,820.0,695.0,555.0,370.0,245.0,20915.0,1235.0,1030.0,30.0,550.0,60.0,1100.0,1635.0,325.0,1360.0,235.0,4455.0,3085.0,4945.0,2710.0,235152.0,63.0,266.0,2.0,,4348.0,5088.0,185.0,721.0,204104.0,203.0,35.0,159.0,23.0,54.0,40.0,13.0,30.0,0.0,3.0,225.0,113.0,90.0,354.0,640.0,120.0,11.77007859,5799.375,48.0,95.0
44,Parkwoods-Donalda,45.0,7.5,34620.0,16380.0,18230.0,2040.0,1920.0,2140.0,2350.0,2360.0,2255.0,2325.0,2440.0,2650.0,2935.0,2615.0,2040.0,1680.0,1320.0,1125.0,1015.0,845.0,580.0,33350.0,2255.0,475.0,290.0,1095.0,140.0,965.0,610.0,490.0,1150.0,535.0,6110.0,4720.0,8605.0,4880.0,0.0,63.0,1211.0,10.0,,3664.0,2802.0,209.0,731.0,553698.0,441.0,34.0,177.0,10.0,106.0,51.0,41.0,4.0,0.0,1.0,254.0,233.0,151.0,423.0,895.0,312.0,58.27994577,4192.777778,109.0,173.0
45,Pleasant View,46.0,3.0,16145.0,7775.0,8360.0,740.0,705.0,825.0,950.0,1060.0,1090.0,855.0,1080.0,1385.0,1365.0,1200.0,1030.0,985.0,825.0,785.0,610.0,400.0,235.0,15555.0,5040.0,190.0,675.0,190.0,115.0,250.0,170.0,125.0,505.0,165.0,2275.0,2010.0,4875.0,2875.0,0.0,66.0,423.0,15.0,,791.0,1162.0,124.0,767.0,463859.0,90.0,13.0,44.0,9.0,23.0,25.0,10.0,3.0,0.0,0.0,86.0,68.0,39.0,127.0,296.0,152.0,32.86586301,4517.0,43.0,77.0
46,Don Valley Village,47.0,4.1,26735.0,12670.0,14060.0,1505.0,1365.0,1290.0,1580.0,1795.0,1805.0,1935.0,2200.0,2295.0,2155.0,1790.0,1500.0,1410.0,1130.0,1020.0,850.0,610.0,530.0,25480.0,6655.0,345.0,95.0,620.0,65.0,905.0,320.0,585.0,1885.0,615.0,4165.0,3370.0,7025.0,4125.0,15200.0,79.0,702.0,8.0,,2137.0,5640.0,373.0,756.0,478489.0,229.0,34.0,174.0,18.0,123.0,40.0,50.0,10.0,0.0,1.0,177.0,96.0,102.0,449.0,636.0,185.0,39.98616921,6050.3,57.0,251.0
47,Hillcrest Village,48.0,5.3,17650.0,8240.0,9430.0,555.0,690.0,855.0,1175.0,1305.0,955.0,745.0,950.0,1385.0,1475.0,1260.0,1250.0,1235.0,975.0,920.0,825.0,615.0,495.0,17195.0,7580.0,130.0,50.0,210.0,35.0,125.0,135.0,200.0,670.0,440.0,2090.0,2475.0,6310.0,3830.0,25000.0,68.0,587.0,24.0,,694.0,11806.0,424.0,775.0,484743.0,180.0,9.0,50.0,13.0,63.0,16.0,27.0,6.0,0.0,0.0,139.0,108.0,52.0,184.0,395.0,174.0,41.08455447,3566.222222,80.0,170.0
48,Bayview Woods-Steeles,49.0,4.1,13535.0,6260.0,7275.0,420.0,545.0,675.0,945.0,945.0,760.0,490.0,625.0,910.0,1075.0,1015.0,920.0,1000.0,745.0,745.0,605.0,490.0,615.0,12870.0,3695.0,75.0,175.0,155.0,55.0,80.0,60.0,255.0,795.0,745.0,1650.0,1880.0,5135.0,3230.0,0.0,57.0,541.0,13.0,,666.0,2207.0,93.0,777.0,784397.0,180.0,4.0,25.0,10.0,36.0,5.0,15.0,1.0,0.0,0.0,128.0,29.0,52.0,96.0,388.0,107.0,29.92753678,10812.0,37.0,79.0
49,Newtonbrook East,50.0,4.1,16425.0,7805.0,8620.0,585.0,525.0,635.0,830.0,1360.0,1525.0,1250.0,1040.0,1085.0,1195.0,1240.0,1105.0,1060.0,725.0,650.0,555.0,530.0,565.0,15545.0,3950.0,40.0,405.0,150.0,70.0,230.0,50.0,335.0,2045.0,1770.0,1730.0,2195.0,5160.0,3015.0,30649.0,64.0,591.0,17.0,,685.0,4357.0,400.0,757.0,626626.0,30.0,5.0,114.0,10.0,116.0,11.0,15.0,3.0,1.0,0.0,190.0,122.0,79.0,275.0,822.0,151.0,39.49436862,4012.333333,96.0,145.0
50,Willowdale East,51.0,5.0,45025.0,21365.0,23690.0,2010.0,1475.0,1520.0,2375.0,4095.0,5120.0,4715.0,3705.0,3410.0,3400.0,3190.0,2745.0,2210.0,1490.0,1195.0,890.0,740.0,715.0,43655.0,12225.0,140.0,360.0,755.0,220.0,380.0,260.0,1290.0,4940.0,4480.0,4995.0,6495.0,9995.0,5030.0,20000.0,84.0,1266.0,20.0,,1189.0,16026.0,849.0,759.0,540911.0,209.0,18.0,201.0,23.0,160.0,36.0,37.0,10.0,0.0,0.0,504.0,145.0,191.0,485.0,990.0,524.0,62.46088057,5919.692308,61.0,296.0
51,Bayview Village,52.0,5.2,17675.0,8245.0,9420.0,665.0,620.0,765.0,955.0,1190.0,1675.0,1415.0,1345.0,1335.0,1310.0,1240.0,1135.0,1050.0,765.0,680.0,530.0,490.0,525.0,17075.0,3800.0,75.0,110.0,295.0,105.0,290.0,85.0,265.0,1525.0,1000.0,2040.0,2130.0,5170.0,2995.0,0.0,71.0,742.0,15.0,,626.0,9377.0,460.0,768.0,533089.0,60.0,10.0,42.0,3.0,37.0,16.0,18.0,6.0,0.0,1.0,147.0,81.0,96.0,132.0,481.0,99.0,37.07799855,3854.625,43.0,302.0
52,Henry Farm,53.0,2.6,11340.0,5405.0,5935.0,780.0,745.0,660.0,660.0,835.0,995.0,1010.0,1025.0,920.0,865.0,710.0,580.0,465.0,330.0,275.0,230.0,150.0,110.0,10705.0,1655.0,195.0,35.0,220.0,35.0,520.0,380.0,210.0,805.0,200.0,2180.0,1485.0,2155.0,1105.0,12468.0,76.0,338.0,4.0,,1502.0,18728.0,717.0,736.0,372110.0,105.0,14.0,39.0,5.0,54.0,10.0,10.0,2.0,0.0,0.0,97.0,136.0,49.0,134.0,237.0,108.0,16.06263543,5659.0,27.0,112.0
53,O'Connor-Parkview,54.0,4.9,18315.0,8705.0,9610.0,1080.0,1050.0,1055.0,1165.0,1145.0,1080.0,1160.0,1175.0,1475.0,1595.0,1580.0,1260.0,980.0,710.0,565.0,465.0,400.0,375.0,17775.0,435.0,270.0,255.0,295.0,100.0,565.0,375.0,110.0,280.0,60.0,3190.0,2325.0,4780.0,2535.0,8000.0,67.0,858.0,12.0,,2984.0,4677.0,346.0,725.0,538203.0,75.0,34.0,264.0,21.0,43.0,25.0,15.0,7.0,0.0,0.0,205.0,47.0,125.0,409.0,603.0,128.0,44.29355774,2532.076923,95.0,93.0
54,Thorncliffe Park,55.0,3.1,19225.0,9275.0,9965.0,2050.0,1675.0,1340.0,1120.0,1085.0,1505.0,1600.0,1680.0,1540.0,1190.0,990.0,800.0,705.0,520.0,455.0,380.0,280.0,325.0,18150.0,215.0,245.0,30.0,385.0,45.0,780.0,4855.0,105.0,960.0,75.0,5070.0,2220.0,3485.0,1985.0,38000.0,73.0,471.0,5.0,,3818.0,9847.0,449.0,724.0,313618.0,21.0,30.0,130.0,8.0,25.0,17.0,39.0,4.0,0.0,2.0,227.0,41.0,87.0,253.0,609.0,154.0,13.29149971,6611.5,62.0,256.0
55,Leaside-Bennington,56.0,4.8,17010.0,8170.0,8855.0,980.0,1250.0,1185.0,1150.0,880.0,560.0,670.0,1075.0,1525.0,1535.0,1465.0,1115.0,925.0,725.0,465.0,400.0,385.0,690.0,16460.0,340.0,10.0,150.0,160.0,70.0,100.0,15.0,80.0,95.0,85.0,3420.0,2025.0,4700.0,2665.0,0.0,77.0,1506.0,18.0,,239.0,2901.0,313.0,791.0,1071823.0,274.0,5.0,40.0,6.0,63.0,32.0,24.0,8.0,0.0,0.0,150.0,59.0,132.0,178.0,326.0,280.0,48.30630623,8701.583333,62.0,92.0
56,Broadview North,57.0,1.7,11565.0,5440.0,6120.0,665.0,490.0,430.0,495.0,640.0,920.0,1025.0,1050.0,1050.0,995.0,830.0,730.0,690.0,455.0,375.0,305.0,250.0,180.0,11080.0,415.0,70.0,95.0,250.0,60.0,315.0,50.0,120.0,65.0,50.0,1590.0,1135.0,2970.0,1545.0,79513.0,74.0,317.0,3.0,,1306.0,1286.0,129.0,728.0,518555.0,57.0,20.0,106.0,15.0,24.0,9.0,9.0,3.0,0.0,1.0,102.0,66.0,64.0,186.0,302.0,47.0,15.20816339,3892.0,44.0,51.0
57,Old East York,58.0,2.3,9115.0,4435.0,4690.0,460.0,470.0,435.0,440.0,475.0,500.0,600.0,660.0,745.0,905.0,760.0,670.0,600.0,360.0,330.0,290.0,210.0,215.0,8795.0,345.0,5.0,185.0,90.0,50.0,220.0,60.0,35.0,35.0,35.0,1365.0,910.0,2680.0,1410.0,0.0,69.0,444.0,0.0,,569.0,1017.0,134.0,756.0,581398.0,88.0,22.0,55.0,3.0,31.0,11.0,8.0,4.0,0.0,0.0,73.0,98.0,64.0,134.0,306.0,60.0,23.84081641,0.0,74.0,60.0
58,Danforth-East York,59.0,2.2,16710.0,7985.0,8725.0,1085.0,795.0,720.0,750.0,795.0,955.0,1495.0,1500.0,1440.0,1425.0,1245.0,1140.0,990.0,650.0,550.0,475.0,405.0,290.0,16195.0,1095.0,30.0,490.0,215.0,120.0,260.0,175.0,90.0,75.0,60.0,2610.0,1545.0,4480.0,2355.0,2600.0,77.0,587.0,3.0,,1049.0,3715.0,167.0,763.0,518568.0,214.0,14.0,82.0,4.0,41.0,5.0,8.0,2.0,0.0,0.0,110.0,24.0,93.0,156.0,378.0,106.0,35.28021008,3039.75,53.0,67.0
59,Woodbine-Lumsden,60.0,1.2,7825.0,3745.0,4080.0,420.0,345.0,310.0,360.0,405.0,470.0,640.0,645.0,670.0,735.0,700.0,590.0,470.0,305.0,285.0,205.0,170.0,90.0,7600.0,580.0,0.0,125.0,105.0,55.0,170.0,40.0,35.0,20.0,25.0,1060.0,770.0,2130.0,1065.0,0.0,73.0,240.0,1.0,,582.0,558.0,56.0,748.0,440700.0,95.0,4.0,60.0,6.0,12.0,10.0,7.0,2.0,0.0,1.0,66.0,23.0,53.0,101.0,216.0,70.0,16.07900302,2022.25,39.0,27.0
60,Taylor-Massey,61.0,1.1,15595.0,7665.0,7920.0,1195.0,1000.0,835.0,760.0,1000.0,1245.0,1295.0,1435.0,1350.0,1235.0,1085.0,900.0,635.0,415.0,375.0,315.0,260.0,235.0,14800.0,580.0,260.0,45.0,185.0,60.0,355.0,675.0,110.0,180.0,90.0,3040.0,1765.0,3140.0,1615.0,119039.0,77.0,237.0,0.0,,2635.0,1399.0,157.0,721.0,254151.0,60.0,28.0,187.0,19.0,51.0,28.0,22.0,7.0,1.0,1.0,212.0,18.0,89.0,343.0,523.0,89.0,10.68841484,3575.5,27.0,73.0
61,East End-Danforth,62.0,2.6,20840.0,9985.0,10865.0,1320.0,1145.0,1070.0,1135.0,1095.0,1330.0,1580.0,1875.0,1875.0,1930.0,1695.0,1405.0,1195.0,720.0,495.0,375.0,315.0,295.0,20075.0,940.0,45.0,205.0,270.0,135.0,375.0,350.0,75.0,100.0,90.0,3525.0,2235.0,4815.0,2215.0,32880.0,85.0,629.0,1.0,,1901.0,3636.0,516.0,741.0,535867.0,330.0,46.0,252.0,15.0,102.0,39.0,10.0,4.0,0.0,1.0,277.0,66.0,146.0,468.0,866.0,129.0,31.17002467,0.0,89.0,129.0
62,The Beaches,63.0,3.6,21135.0,10040.0,11100.0,1265.0,1275.0,1145.0,1045.0,1080.0,1120.0,1460.0,1745.0,1990.0,1990.0,1740.0,1615.0,1325.0,900.0,505.0,390.0,270.0,245.0,20820.0,245.0,25.0,175.0,180.0,75.0,85.0,10.0,85.0,40.0,45.0,3695.0,2120.0,5255.0,2320.0,0.0,88.0,1244.0,2.0,,672.0,5694.0,531.0,764.0,751945.0,167.0,12.0,114.0,14.0,119.0,11.0,15.0,7.0,0.0,0.0,165.0,23.0,162.0,292.0,369.0,193.0,43.72176959,3434.25,44.0,131.0
63,Woodbine Corridor,64.0,1.6,11705.0,5640.0,6070.0,890.0,595.0,550.0,525.0,590.0,675.0,995.0,1230.0,1125.0,1150.0,935.0,795.0,590.0,345.0,235.0,210.0,170.0,85.0,11410.0,615.0,25.0,120.0,135.0,75.0,70.0,85.0,35.0,25.0,45.0,2055.0,1120.0,2405.0,1030.0,37500.0,85.0,358.0,2.0,,906.0,1896.0,146.0,749.0,521549.0,214.0,23.0,139.0,11.0,47.0,13.0,4.0,1.0,1.0,2.0,125.0,30.0,95.0,239.0,445.0,75.0,20.75984929,5104.0,35.0,57.0
64,Greenwood-Coxwell,65.0,1.7,14075.0,6885.0,7195.0,975.0,595.0,590.0,655.0,835.0,980.0,1295.0,1420.0,1200.0,1200.0,1125.0,980.0,660.0,460.0,400.0,310.0,240.0,185.0,13660.0,1910.0,55.0,155.0,210.0,70.0,115.0,400.0,20.0,35.0,35.0,2160.0,1480.0,3210.0,1585.0,5700.0,88.0,329.0,2.0,,1762.0,2342.0,315.0,738.0,490920.0,94.0,30.0,183.0,18.0,96.0,42.0,21.0,2.0,0.0,2.0,148.0,40.0,98.0,392.0,461.0,91.0,23.60064249,2621.5,44.0,90.0
65,Danforth,66.0,1.1,9450.0,4605.0,4845.0,635.0,505.0,400.0,445.0,565.0,640.0,780.0,825.0,725.0,740.0,705.0,600.0,510.0,410.0,325.0,270.0,190.0,175.0,9165.0,625.0,10.0,525.0,100.0,70.0,65.0,105.0,25.0,20.0,45.0,1555.0,1010.0,2465.0,1355.0,23810.0,86.0,256.0,2.0,,626.0,2786.0,414.0,755.0,585093.0,152.0,34.0,121.0,12.0,49.0,29.0,13.0,3.0,1.0,1.0,119.0,59.0,72.0,262.0,491.0,92.0,15.45133445,0.0,53.0,48.0
66,Playter Estates-Danforth,67.0,0.9,7655.0,3760.0,3890.0,355.0,420.0,365.0,355.0,375.0,600.0,630.0,590.0,680.0,640.0,600.0,525.0,470.0,320.0,220.0,175.0,140.0,200.0,7345.0,205.0,10.0,95.0,140.0,35.0,60.0,15.0,40.0,40.0,30.0,1135.0,725.0,2045.0,1065.0,75239.0,90.0,298.0,1.0,,288.0,2243.0,301.0,757.0,842668.0,162.0,17.0,62.0,9.0,33.0,18.0,3.0,4.0,0.0,2.0,104.0,47.0,45.0,146.0,363.0,112.0,11.62757371,2725.333333,41.0,56.0
67,North Riverdale,68.0,1.8,12195.0,5965.0,6220.0,670.0,630.0,595.0,610.0,610.0,795.0,905.0,1045.0,1040.0,1235.0,1065.0,820.0,730.0,480.0,370.0,265.0,185.0,160.0,11820.0,1180.0,5.0,130.0,140.0,45.0,60.0,30.0,55.0,10.0,25.0,1885.0,1200.0,2995.0,1455.0,0.0,90.0,390.0,1.0,,503.0,4033.0,327.0,767.0,818592.0,233.0,27.0,227.0,19.0,79.0,40.0,10.0,0.0,0.0,0.0,129.0,46.0,75.0,402.0,624.0,110.0,18.77734793,3522.333333,43.0,95.0
