,Neighbourhood,Neighbourhood Id,Total Area,Total Population,Pop - Males,Pop - Females,Pop 0 - 4 years,Pop 5 - 9 years,Pop 10 - 14 years,Pop 15 -19 years,Pop 20 - 24 years,Pop  25 - 29 years,Pop 30 - 34 years,Pop 35 - 39 years,Pop 40 - 44 years,Pop 45 - 49 years,Pop 50 - 54 years,Pop 55 - 59 years,Pop 60 - 64 years,Pop 65 - 69 years,Pop 70 - 74 years,Pop 75 - 79 years,Pop 80 - 84 years,Pop 85 years and over,Home Language Category,Language - Chinese,Language - Tamil,Language - Italian,Language - Spanish,Language - Portuguese,Language - Tagalog,Language - Urdu,Language - Russian,Language - Persian (Farsi),Language - Korean,Child 0-14,Youth 15-24,Seniors 55 and over,Seniors 65 and over,City Grants Funding $,Walk Score,Salvation Army Donors,Watermain Breaks,Neighbourhood Equity Score,Social Assistance Recipients,Local Employment,Businesses,Debt Risk Score,Home Prices,Child Care Spaces,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Robberies,Vehicle Thefts,Thefts,Murders,Arsons,Fires & Fire Alarms,Fire Vehicle Incidents,Hazardous Incidents,Total Major Crime Incidents,Fire Medical Calls,Traffic Collisions,Road Kilometres,Road Volume,TTC Stops,Pedestrian/Other Collisions
104,Lawrence Park North,105.0,2.3,14540.0,6915.0,7625.0,1205.0,1170.0,965.0,840.0,660.0,525.0,820.0,1265.0,1425.0,1245.0,1095.0,855.0,795.0,530.0,355.0,285.0,260.0,270.0,14205.0,355.0,10.0,180.0,140.0,60.0,145.0,15.0,135.0,90.0,165.0,3320.0,1505.0,3330.0,1690.0,0.0,78.0,1231.0,3.0,,166.0,3624.0,381.0,790.0,980831.0,212.0,2.0,33.0,4.0,56.0,13.0,27.0,6.0,0.0,1.0,104.0,28.0,138.0,141.0,290.0,218.0,29.60219911,4704.142857,55.0,46.0
105,Humewood-Cedarvale,106.0,1.9,14110.0,6440.0,7670.0,785.0,670.0,600.0,635.0,1095.0,1435.0,1315.0,1195.0,1105.0,1055.0,970.0,875.0,765.0,525.0,380.0,260.0,235.0,205.0,13680.0,220.0,15.0,350.0,605.0,255.0,780.0,20.0,140.0,50.0,120.0,2055.0,1730.0,3230.0,1590.0,0.0,80.0,302.0,2.0,,698.0,1345.0,139.0,747.0,800442.0,108.0,18.0,72.0,5.0,26.0,4.0,10.0,4.0,0.0,0.0,119.0,6.0,94.0,139.0,273.0,88.0,23.21263491,3941.0,29.0,51.0
106,Oakwood Village,107.0,2.2,21075.0,10005.0,11070.0,1125.0,985.0,1030.0,1080.0,1275.0,1500.0,1630.0,1680.0,1700.0,1620.0,1525.0,1315.0,1155.0,945.0,820.0,705.0,510.0,450.0,20205.0,570.0,25.0,1810.0,1405.0,1970.0,1070.0,35.0,165.0,40.0,110.0,3130.0,2355.0,5925.0,3440.0,50000.0,82.0,352.0,0.0,,2412.0,1573.0,255.0,713.0,482040.0,168.0,37.0,165.0,14.0,56.0,18.0,16.0,1.0,0.0,1.0,141.0,40.0,117.0,307.0,622.0,178.0,32.5587855,4503.666667,40.0,84.0
107,Briar Hill-Belgravia,108.0,1.8,14295.0,6590.0,7720.0,695.0,605.0,715.0,770.0,890.0,1075.0,1180.0,1115.0,1175.0,1290.0,1190.0,925.0,790.0,470.0,465.0,370.0,320.0,245.0,13680.0,345.0,80.0,1020.0,800.0,1100.0,1190.0,25.0,600.0,40.0,65.0,2010.0,1665.0,3580.0,1870.0,31400.0,81.0,218.0,2.0,,1432.0,3446.0,477.0,719.0,373937.0,25.0,33.0,115.0,17.0,36.0,25.0,29.0,3.0,1.0,1.0,133.0,46.0,106.0,259.0,539.0,137.0,22.483945499999997,11837.28571,45.0,93.0
108,Caledonia-Fairbank,109.0,1.5,9855.0,4825.0,5025.0,555.0,480.0,550.0,645.0,655.0,765.0,785.0,680.0,725.0,840.0,790.0,630.0,510.0,370.0,320.0,225.0,185.0,140.0,9430.0,110.0,20.0,780.0,765.0,2745.0,395.0,20.0,20.0,10.0,15.0,1600.0,1305.0,2385.0,1240.0,9000.0,69.0,89.0,1.0,,1153.0,944.0,92.0,700.0,400532.0,75.0,16.0,94.0,17.0,28.0,6.0,8.0,1.0,0.0,0.0,45.0,15.0,28.0,170.0,250.0,82.0,18.70522556,5796.0,37.0,52.0
109,Keelesdale-Eglinton West,110.0,1.7,10640.0,5225.0,5410.0,555.0,520.0,610.0,690.0,695.0,725.0,760.0,720.0,805.0,905.0,850.0,645.0,590.0,450.0,365.0,340.0,250.0,150.0,10195.0,225.0,65.0,775.0,740.0,2755.0,310.0,60.0,25.0,10.0,5.0,1700.0,1385.0,2810.0,1570.0,0.0,69.0,132.0,3.0,,1653.0,1644.0,266.0,707.0,373029.0,25.0,24.0,125.0,15.0,58.0,39.0,21.0,1.0,0.0,0.0,89.0,32.0,58.0,283.0,340.0,141.0,22.30262457,2186.666667,24.0,119.0
110,Rockcliffe-Smythe,111.0,5.1,22270.0,10750.0,11520.0,1290.0,1230.0,1305.0,1455.0,1470.0,1515.0,1500.0,1435.0,1555.0,1785.0,1680.0,1420.0,1220.0,975.0,805.0,700.0,530.0,385.0,21500.0,475.0,50.0,700.0,2035.0,2540.0,365.0,80.0,120.0,55.0,65.0,3820.0,2925.0,6070.0,3425.0,0.0,61.0,539.0,8.0,,3422.0,3345.0,314.0,710.0,353967.0,110.0,50.0,182.0,29.0,68.0,31.0,39.0,5.0,0.0,2.0,195.0,62.0,112.0,404.0,795.0,193.0,43.05565102,5589.25,104.0,115.0
111,Beechborough-Greenbrook,112.0,1.8,6490.0,2990.0,3500.0,455.0,390.0,395.0,415.0,455.0,535.0,495.0,425.0,480.0,535.0,470.0,365.0,305.0,225.0,185.0,155.0,115.0,95.0,6245.0,45.0,90.0,410.0,285.0,795.0,170.0,15.0,10.0,5.0,15.0,1235.0,865.0,1435.0,765.0,5000.0,62.0,108.0,3.0,,1478.0,4140.0,128.0,677.0,440179.0,22.0,38.0,116.0,12.0,26.0,19.0,6.0,4.0,1.0,2.0,147.0,46.0,47.0,222.0,347.0,103.0,16.39852965,5102.0,35.0,63.0
112,Weston,113.0,2.6,18170.0,8545.0,9625.0,1270.0,985.0,940.0,1100.0,1270.0,1420.0,1405.0,1255.0,1330.0,1440.0,1375.0,1220.0,925.0,640.0,520.0,400.0,350.0,325.0,17445.0,230.0,320.0,650.0,1400.0,655.0,270.0,60.0,55.0,170.0,40.0,3205.0,2370.0,4370.0,2235.0,46910.0,73.0,377.0,10.0,,4149.0,4578.0,536.0,679.0,280187.0,157.0,89.0,278.0,35.0,45.0,66.0,32.0,8.0,1.0,0.0,336.0,47.0,138.0,554.0,683.0,196.0,29.13558051,4369.25,75.0,178.0
113,Lambton Baby Point,114.0,1.7,7920.0,3695.0,4220.0,585.0,535.0,505.0,475.0,405.0,435.0,505.0,590.0,690.0,660.0,630.0,565.0,435.0,265.0,205.0,155.0,125.0,160.0,7750.0,85.0,0.0,95.0,205.0,125.0,40.0,0.0,105.0,30.0,45.0,1630.0,880.0,1900.0,900.0,0.0,70.0,360.0,1.0,,1049.0,438.0,66.0,749.0,806452.0,19.0,8.0,28.0,2.0,20.0,12.0,8.0,1.0,2.0,1.0,59.0,9.0,49.0,81.0,207.0,52.0,19.21811928,2337.857143,28.0,20.0
114,Mount Dennis,115.0,2.1,13150.0,6210.0,6935.0,805.0,805.0,835.0,930.0,950.0,1020.0,915.0,855.0,930.0,1150.0,1045.0,800.0,615.0,460.0,365.0,225.0,200.0,235.0,12425.0,295.0,65.0,210.0,1290.0,800.0,390.0,60.0,60.0,70.0,175.0,2455.0,1865.0,2940.0,1515.0,0.0,59.0,157.0,1.0,,2937.0,2198.0,184.0,680.0,273418.0,109.0,48.0,135.0,16.0,53.0,33.0,14.0,2.0,1.0,0.0,220.0,53.0,61.0,302.0,445.0,64.0,17.69051031,13491.5,59.0,59.0
115,Steeles,116.0,4.6,25010.0,12010.0,13010.0,950.0,940.0,1120.0,1565.0,1925.0,1905.0,1280.0,1350.0,1905.0,2070.0,1895.0,1820.0,1745.0,1195.0,1050.0,895.0,715.0,690.0,23975.0,15735.0,270.0,260.0,85.0,30.0,350.0,105.0,25.0,80.0,90.0,3020.0,3500.0,8105.0,4545.0,35000.0,61.0,574.0,2.0,,1549.0,5835.0,237.0,778.0,440688.0,105.0,5.0,51.0,7.0,82.0,26.0,30.0,4.0,0.0,2.0,95.0,48.0,45.0,205.0,330.0,234.0,46.33675666,3711.3125,80.0,99.0
116,L'Amoreaux,117.0,7.1,44915.0,21085.0,23840.0,2230.0,2100.0,2375.0,3070.0,3125.0,3075.0,2380.0,2790.0,3320.0,3870.0,3310.0,2950.0,2610.0,1955.0,1865.0,1640.0,1270.0,1015.0,43075.0,15065.0,3655.0,715.0,320.0,100.0,1125.0,510.0,100.0,675.0,180.0,6695.0,6210.0,13275.0,7725.0,8000.0,65.0,1405.0,6.0,,3848.0,4734.0,443.0,758.0,355438.0,126.0,35.0,116.0,8.0,112.0,67.0,21.0,7.0,1.0,1.0,307.0,116.0,118.0,367.0,944.0,215.0,66.57614957,2482.52381,138.0,249.0
117,Tam O'Shanter-Sullivan,118.0,5.5,27390.0,12840.0,14555.0,1460.0,1380.0,1370.0,1560.0,1765.0,1665.0,1605.0,1850.0,1965.0,2230.0,1925.0,1655.0,1435.0,1235.0,1220.0,1190.0,945.0,970.0,26195.0,8220.0,1150.0,340.0,315.0,70.0,820.0,780.0,65.0,420.0,170.0,4170.0,3305.0,8595.0,5520.0,0.0,64.0,1031.0,15.0,,1973.0,3882.0,343.0,756.0,411143.0,192.0,27.0,112.0,18.0,81.0,37.0,12.0,5.0,0.0,4.0,276.0,111.0,97.0,292.0,711.0,171.0,50.85001538,2522.181818,55.0,260.0
118,Wexford/Maryvale,119.0,10.2,27020.0,13015.0,14005.0,1430.0,1320.0,1530.0,1740.0,1710.0,1620.0,1570.0,1665.0,1940.0,2340.0,2235.0,1830.0,1465.0,1060.0,990.0,860.0,900.0,790.0,25830.0,1255.0,1070.0,565.0,515.0,145.0,1705.0,400.0,65.0,280.0,155.0,4285.0,3465.0,7930.0,4615.0,51800.0,67.0,1539.0,18.0,,3014.0,16717.0,945.0,735.0,422689.0,140.0,60.0,307.0,23.0,132.0,49.0,41.0,8.0,0.0,2.0,271.0,192.0,165.0,620.0,1073.0,262.0,86.67723451,3539.25,182.0,607.0
119,Clairlea-Birchmount,120.0,7.4,24775.0,12095.0,12670.0,1520.0,1305.0,1420.0,1585.0,1575.0,1730.0,1830.0,1780.0,1955.0,2220.0,1925.0,1550.0,1220.0,775.0,650.0,605.0,540.0,580.0,23025.0,1800.0,535.0,460.0,350.0,120.0,1360.0,740.0,75.0,230.0,60.0,4245.0,3170.0,5890.0,3125.0,48393.0,69.0,719.0,8.0,,2688.0,15391.0,831.0,741.0,387912.0,84.0,38.0,285.0,24.0,116.0,44.0,66.0,8.0,2.0,3.0,296.0,102.0,156.0,583.0,1190.0,268.0,63.837663600000006,3601.0,129.0,465.0
120,Oakridge,121.0,1.8,13505.0,6590.0,6915.0,1055.0,930.0,885.0,850.0,810.0,955.0,1035.0,1010.0,1125.0,1060.0,1035.0,725.0,555.0,435.0,340.0,250.0,205.0,265.0,12880.0,640.0,200.0,120.0,125.0,50.0,455.0,460.0,55.0,335.0,40.0,2880.0,1650.0,2760.0,1480.0,30400.0,71.0,165.0,2.0,,2967.0,1768.0,201.0,704.0,347446.0,54.0,55.0,169.0,13.0,91.0,30.0,14.0,4.0,0.0,4.0,188.0,50.0,97.0,376.0,498.0,76.0,19.11891564,3205.0,56.0,80.0
121,Birchcliffe-Cliffside,122.0,6.0,21860.0,10455.0,11390.0,1060.0,1045.0,1110.0,1370.0,1200.0,1115.0,1180.0,1415.0,1615.0,2105.0,2085.0,1745.0,1510.0,960.0,705.0,575.0,530.0,535.0,21080.0,740.0,105.0,245.0,220.0,120.0,345.0,60.0,70.0,75.0,20.0,3210.0,2565.0,6560.0,3315.0,64400.0,71.0,1143.0,8.0,,1789.0,3228.0,345.0,747.0,522905.0,110.0,26.0,208.0,4.0,105.0,39.0,20.0,9.0,0.0,2.0,276.0,70.0,132.0,411.0,771.0,193.0,64.45457811,2636.2631579999997,104.0,114.0
122,Cliffcrest,123.0,7.1,15700.0,7645.0,8060.0,775.0,840.0,1035.0,1125.0,985.0,790.0,695.0,905.0,1175.0,1410.0,1410.0,1130.0,1020.0,650.0,485.0,525.0,395.0,355.0,15340.0,560.0,415.0,200.0,200.0,65.0,365.0,100.0,90.0,150.0,40.0,2655.0,2105.0,4575.0,2430.0,0.0,54.0,928.0,16.0,,1342.0,2132.0,200.0,748.0,542218.0,70.0,30.0,131.0,14.0,44.0,59.0,7.0,4.0,0.0,1.0,161.0,40.0,125.0,289.0,478.0,108.0,51.38712788,3779.625,69.0,97.0
123,Kennedy Park,124.0,3.6,17050.0,8190.0,8875.0,975.0,925.0,1030.0,1140.0,1070.0,1095.0,1070.0,1140.0,1325.0,1530.0,1370.0,1220.0,900.0,645.0,540.0,475.0,365.0,255.0,16255.0,1145.0,955.0,315.0,265.0,75.0,1305.0,225.0,25.0,200.0,35.0,2940.0,2200.0,4405.0,2300.0,9000.0,62.0,354.0,6.0,,2583.0,1824.0,261.0,729.0,293600.0,82.0,48.0,225.0,20.0,78.0,59.0,23.0,8.0,0.0,0.0,280.0,97.0,105.0,461.0,805.0,117.0,30.81869749,2876.75,73.0,155.0
124,Ionview,125.0,2.0,13095.0,6205.0,6885.0,795.0,710.0,680.0,770.0,930.0,975.0,950.0,890.0,1010.0,1130.0,1010.0,830.0,685.0,500.0,420.0,330.0,265.0,175.0,12475.0,800.0,1075.0,140.0,170.0,45.0,1100.0,165.0,15.0,65.0,20.0,2190.0,1705.0,3195.0,1680.0,70000.0,70.0,285.0,4.0,,1675.0,1003.0,148.0,712.0,330109.0,45.0,17.0,81.0,17.0,32.0,14.0,11.0,0.0,1.0,0.0,84.0,27.0,45.0,173.0,402.0,32.0,16.898618,2664.0,22.0,111.0
125,Dorset Park,126.0,6.0,24360.0,11520.0,12840.0,1690.0,1460.0,1340.0,1505.0,1500.0,1700.0,1740.0,1790.0,1755.0,2000.0,1935.0,1525.0,1190.0,820.0,655.0,655.0,540.0,555.0,22755.0,2410.0,2955.0,205.0,290.0,70.0,1310.0,870.0,35.0,430.0,50.0,4490.0,2995.0,5960.0,3245.0,0.0,68.0,558.0,5.0,,2803.0,12722.0,969.0,727.0,279189.0,52.0,39.0,179.0,20.0,88.0,56.0,30.0,7.0,0.0,2.0,230.0,131.0,110.0,419.0,708.0,251.0,39.00312698,3959.0,93.0,348.0
126,Bendale,127.0,7.4,27870.0,13455.0,14405.0,1525.0,1460.0,1425.0,1655.0,2085.0,2030.0,1840.0,1905.0,1920.0,2080.0,1915.0,1645.0,1505.0,1135.0,1085.0,1070.0,850.0,710.0,26175.0,3585.0,1750.0,300.0,335.0,110.0,1445.0,970.0,45.0,425.0,175.0,4420.0,3735.0,8015.0,4855.0,7500.0,64.0,968.0,6.0,,2729.0,17680.0,853.0,738.0,329355.0,200.0,51.0,232.0,25.0,93.0,65.0,70.0,10.0,0.0,1.0,264.0,174.0,129.0,546.0,960.0,258.0,62.86449729,4499.117647,118.0,851.0
127,Agincourt South-Malvern West,128.0,7.9,21990.0,10630.0,11350.0,1080.0,930.0,1150.0,1480.0,1630.0,1500.0,1275.0,1360.0,1605.0,1950.0,1770.0,1500.0,1325.0,905.0,850.0,705.0,565.0,410.0,21155.0,9370.0,1035.0,415.0,130.0,60.0,500.0,395.0,25.0,170.0,70.0,3165.0,3095.0,6255.0,3435.0,8900.0,66.0,533.0,12.0,,1542.0,18329.0,1378.0,756.0,332710.0,135.0,20.0,141.0,24.0,110.0,44.0,36.0,5.0,0.0,2.0,233.0,125.0,66.0,380.0,558.0,160.0,55.9797809,3773.071429,125.0,281.0
128,Agincourt North,129.0,7.3,30280.0,14445.0,15845.0,1320.0,1345.0,1560.0,2000.0,2165.0,2145.0,1685.0,1715.0,2125.0,2655.0,2360.0,2105.0,2000.0,1430.0,1245.0,1025.0,745.0,650.0,28950.0,14710.0,2845.0,150.0,145.0,70.0,780.0,350.0,20.0,140.0,55.0,4235.0,4150.0,9225.0,5120.0,0.0,66.0,467.0,4.0,,1930.0,7449.0,353.0,765.0,375307.0,130.0,20.0,74.0,6.0,105.0,54.0,33.0,4.0,0.0,0.0,130.0,89.0,60.0,296.0,413.0,288.0,57.45648472,3584.058824,94.0,129.0
129,Milliken,130.0,9.4,27160.0,13055.0,14115.0,1265.0,1200.0,1330.0,1715.0,2020.0,2055.0,1500.0,1700.0,1820.0,2205.0,2130.0,2065.0,1855.0,1145.0,960.0,850.0,695.0,700.0,26090.0,16265.0,1515.0,45.0,75.0,20.0,675.0,235.0,0.0,60.0,30.0,3800.0,3710.0,8255.0,4325.0,2000.0,65.0,337.0,1.0,,1921.0,16901.0,2090.0,770.0,387879.0,220.0,5.0,79.0,3.0,124.0,32.0,67.0,15.0,0.0,2.0,183.0,89.0,43.0,325.0,425.0,426.0,67.435866,3917.571429,160.0,487.0
130,Rouge,131.0,37.6,45905.0,22275.0,23635.0,2670.0,2705.0,3150.0,3465.0,3475.0,3265.0,2865.0,2810.0,3170.0,3705.0,3670.0,3355.0,2790.0,1795.0,1155.0,800.0,570.0,535.0,43685.0,1455.0,7140.0,255.0,300.0,125.0,2365.0,1230.0,35.0,410.0,90.0,8530.0,6925.0,10970.0,4825.0,0.0,42.0,805.0,2.0,,2994.0,14207.0,877.0,738.0,426850.0,210.0,33.0,170.0,30.0,134.0,62.0,91.0,14.0,0.0,2.0,296.0,220.0,179.0,534.0,838.0,770.0,115.74493670000001,4300.913043,199.0,263.0
131,Malvern,132.0,8.9,45085.0,21560.0,23530.0,2925.0,3045.0,3250.0,3475.0,3485.0,3385.0,2930.0,3005.0,3100.0,3540.0,3095.0,2750.0,2535.0,1765.0,1160.0,825.0,490.0,315.0,42915.0,2885.0,6240.0,105.0,445.0,100.0,2305.0,2350.0,15.0,325.0,70.0,9220.0,6960.0,9825.0,4545.0,101775.0,61.0,498.0,0.0,,5078.0,11173.0,625.0,724.0,256488.0,81.0,81.0,319.0,37.0,118.0,118.0,51.0,3.0,2.0,2.0,283.0,174.0,161.0,729.0,979.0,334.0,74.91197001,3766.7727270000005,180.0,232.0
132,Centennial Scarborough,133.0,5.4,13100.0,6355.0,6740.0,625.0,680.0,840.0,975.0,940.0,650.0,585.0,730.0,910.0,1125.0,1155.0,1010.0,940.0,760.0,560.0,305.0,170.0,120.0,12745.0,405.0,265.0,250.0,85.0,80.0,360.0,175.0,40.0,95.0,35.0,2145.0,1915.0,3875.0,1930.0,0.0,54.0,611.0,2.0,,399.0,951.0,126.0,774.0,491024.0,80.0,2.0,50.0,4.0,27.0,9.0,13.0,2.0,0.0,1.0,52.0,43.0,52.0,107.0,243.0,115.0,45.86598925,2994.571429,44.0,44.0
133,Highland Creek,134.0,5.1,13100.0,6435.0,6660.0,445.0,585.0,710.0,930.0,1130.0,1020.0,710.0,585.0,715.0,1015.0,1085.0,1125.0,1050.0,740.0,490.0,345.0,180.0,245.0,12505.0,685.0,1060.0,305.0,70.0,85.0,465.0,215.0,15.0,80.0,70.0,1745.0,2055.0,4155.0,1985.0,0.0,54.0,433.0,1.0,,724.0,1798.0,91.0,751.0,529278.0,110.0,11.0,70.0,9.0,80.0,19.0,17.0,1.0,0.0,0.0,99.0,91.0,48.0,207.0,290.0,100.0,37.845626,3516.833333,70.0,50.0
134,Morningside,135.0,5.6,17585.0,8445.0,9140.0,1080.0,995.0,1045.0,1375.0,1460.0,1250.0,1035.0,990.0,1160.0,1345.0,1355.0,1175.0,1000.0,670.0,600.0,470.0,335.0,260.0,16515.0,585.0,1715.0,80.0,185.0,40.0,1075.0,610.0,15.0,215.0,70.0,3130.0,2845.0,4475.0,2310.0,22000.0,53.0,460.0,8.0,,2534.0,3566.0,108.0,711.0,289646.0,28.0,24.0,161.0,27.0,47.0,51.0,19.0,1.0,0.0,4.0,216.0,61.0,99.0,330.0,457.0,88.0,32.28313942,4873.142857,35.0,118.0
135,West Hill,136.0,9.6,26550.0,12560.0,14000.0,1575.0,1550.0,1820.0,2055.0,1870.0,1600.0,1460.0,1525.0,1935.0,2145.0,2090.0,1800.0,1515.0,1105.0,900.0,670.0,485.0,445.0,25380.0,575.0,810.0,330.0,435.0,90.0,985.0,425.0,65.0,445.0,60.0,4950.0,3930.0,6925.0,3615.0,55370.0,66.0,765.0,8.0,,4974.0,4500.0,424.0,706.0,308229.0,153.0,87.0,387.0,52.0,102.0,71.0,46.0,3.0,1.0,3.0,338.0,78.0,142.0,749.0,1145.0,166.0,61.14700126,3824.181818,80.0,209.0
136,Woburn,137.0,12.2,53350.0,26005.0,27330.0,3485.0,3415.0,3400.0,3575.0,4005.0,3825.0,3835.0,3805.0,3830.0,3945.0,3580.0,2905.0,2355.0,1950.0,1800.0,1690.0,1185.0,820.0,50890.0,3560.0,4665.0,430.0,615.0,180.0,2075.0,1740.0,70.0,1070.0,125.0,10295.0,7585.0,12655.0,7425.0,144255.0,66.0,1429.0,22.0,,6747.0,16190.0,1073.0,723.0,316584.0,214.0,77.0,412.0,29.0,128.0,107.0,45.0,7.0,3.0,2.0,504.0,219.0,223.0,808.0,1469.0,438.0,102.835355,4656.6,139.0,507.0
137,Eglinton East,138.0,3.2,22830.0,10580.0,12240.0,1555.0,1500.0,1500.0,1545.0,1535.0,1450.0,1485.0,1515.0,1675.0,1745.0,1635.0,1395.0,1130.0,850.0,740.0,615.0,535.0,420.0,21580.0,915.0,2740.0,255.0,325.0,90.0,1540.0,340.0,30.0,305.0,55.0,4535.0,3080.0,5695.0,3150.0,5800.0,62.0,396.0,5.0,,4171.0,2351.0,296.0,705.0,274020.0,143.0,48.0,239.0,17.0,88.0,66.0,23.0,10.0,1.0,0.0,223.0,76.0,111.0,492.0,720.0,122.0,29.46464034,3086.0,61.0,180.0
138,Scarborough Village,139.0,3.1,16615.0,7825.0,8790.0,1200.0,1140.0,1150.0,1240.0,1220.0,1035.0,1040.0,1045.0,1205.0,1280.0,1155.0,1080.0,795.0,525.0,430.0,360.0,335.0,360.0,15860.0,330.0,1625.0,160.0,250.0,50.0,505.0,865.0,40.0,525.0,35.0,3485.0,2445.0,3885.0,2000.0,3200.0,70.0,410.0,6.0,,4133.0,1851.0,228.0,699.0,356096.0,217.0,31.0,226.0,31.0,93.0,62.0,27.0,3.0,1.0,1.0,180.0,35.0,94.0,474.0,652.0,65.0,23.14334537,2111.6,29.0,110.0
139,Guildwood,140.0,3.8,9815.0,4550.0,5270.0,370.0,440.0,485.0,565.0,510.0,395.0,395.0,515.0,650.0,710.0,855.0,780.0,650.0,560.0,500.0,570.0,470.0,420.0,9495.0,185.0,75.0,110.0,95.0,40.0,165.0,25.0,50.0,70.0,30.0,1285.0,1075.0,3920.0,2490.0,11500.0,59.0,903.0,14.0,,309.0,924.0,67.0,774.0,444309.0,171.0,9.0,44.0,7.0,32.0,14.0,5.0,2.0,0.0,0.0,48.0,24.0,48.0,113.0,284.0,56.0,31.41879421,2114.875,29.0,23.0
